"Student","WA13.5","Instructor","Final.Grade","Modality","Group"
"    Points Possible",1,"",5,"","Treatment"
"Fall03_01",1,"Lamberti",0,"Live","Treatment"
"Fall03_02",1,"Lamberti",3.75,"Live","Treatment"
"Fall03_03",1,"Lamberti",4,"Live","Treatment"
"Fall03_04",1,"Lamberti",3.5,"Live","Treatment"
"Fall02_01",1,"Abdullah",1,"Live","Treatment"
"Fall02_02",1,"Abdullah",0,"Live","Treatment"
"FallDL1_01",1,"Abdullah",5,"Async","Treatment"
"FallDL1_02",1,"Abdullah",5,"Async","Treatment"
"FallDL1_03",1,"Abdullah",5,"Async","Treatment"
"    Points Possible",20,"",300,"","Control"
"Fall04_01",19,"Lamberti",297,"Live","Control"
"Fall04_02",19,"Lamberti",295.5,"Live","Control"
"Fall05_01",20,"Abdullah",287,"Live","Control"
