Student,Section,Instructor,Modality,TREATMENT,WA13.5,WA13.5Q1,WA13.5Q2,WA13.5Q3,WA13.5Q4,Final.Grade,WA Current Points,WA Final Points,WA Current Score,WA Unposted Current Score,WA Final Score,WA Unposted Final Score,YTE Current Points,YTE Final Points,YTE Current Score,YTE Unposted Current Score,YTE Final Score,YTE Unposted Final Score,Ethics Current Points,Ethics Final Points,Ethics Current Score,Ethics Unposted Current Score,Ethics Final Score,Ethics Unposted Final Score,Participation Current Points,Participation Final Points,Participation Current Score,Participation Unposted Current Score,Participation Final Score,Participation Unposted Final Score,Surveys Current Points,Surveys Final Points,Surveys Current Score,Surveys Unposted Current Score,Surveys Final Score,Surveys Unposted Final Score,Stage Exams Current Points,Stage Exams Final Points,Stage Exams Current Score,Stage Exams Unposted Current Score,Stage Exams Final Score,Stage Exams Unposted Final Score,Final Exam Current Points,Final Exam Final Points,Final Exam Current Score,Final Exam Unposted Current Score,Final Exam Final Score,Final Exam Unposted Final Score,Extra Credits Current Points,Extra Credits Final Points,Extra Credits Current Score,Extra Credits Unposted Current Score,Extra Credits Final Score,Extra Credits Unposted Final Score,Current Points,Final Points,Current Score,Unposted Current Score,Final Score,Unposted Final Score,Current Grade,Unposted Current Grade,Final Grade,Unposted Final Grade,,,,,,,,,,,,
    Points Possible,,,,1,20,5,5,5,5,300,(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),,,,,,,,,,,,
Fall03_01,Fall 2025 Computing for Scientists (CDS-130-003),Lamberti,Live,1,0,0,0,0,0,267,184,184,69.96,69.96,69.96,69.96,226,226,97.41,97.41,97.41,97.41,126.93,126.93,80.59,80.59,80.59,80.59,5,5,17.86,17.86,17.86,17.86,0,0,,,,,230,230,96.23,96.23,96.23,96.23,269,269,89.07,89.07,89.07,89.07,48.5,48.5,,,,,1089.43,1089.43,89.19,89.19,89.19,89.19,B+,B+,B+,B+,,,,,,,,,,,,
Fall03_02,Fall 2025 Computing for Scientists (CDS-130-003),Lamberti,Live,1,16.5,4,3.75,5,3.75,282,246,246,93.54,93.54,93.54,93.54,231,231,99.57,99.57,99.57,99.57,141.77,141.77,90.01,90.01,90.01,90.01,26.5,26.5,94.64,94.64,94.64,94.64,0,0,,,,,229.67,229.67,96.09,96.09,96.09,96.09,284,284,94.04,94.04,94.04,94.04,65,65,,,,,1223.94,1223.94,100.2,100.2,100.2,100.2,A+,A+,A+,A+,,,,,,,,,,,,
Fall03_03,Fall 2025 Computing for Scientists (CDS-130-003),Lamberti,Live,1,15,3.25,4,3.75,4,284,213,213,80.99,80.99,80.99,80.99,146,146,62.93,62.93,62.93,62.93,142.66,142.66,90.58,90.58,90.58,90.58,26.2,26.2,93.57,93.57,93.57,93.57,0,0,,,,,217.67,217.67,91.07,91.07,91.07,91.07,286,286,94.7,94.7,94.7,94.7,50,50,,,,,1081.53,1081.53,88.54,88.54,88.54,88.54,B+,B+,B+,B+,,,,,,,,,,,,
Fall03_04,Fall 2025 Computing for Scientists (CDS-130-003),Lamberti,Live,1,13.25,3.5,3.25,3,3.5,300,238.75,238.75,90.78,90.78,90.78,90.78,231.33,231.33,99.71,99.71,99.71,99.71,155.5,155.5,98.73,98.73,98.73,98.73,28,28,100,100,100,100,0,0,,,,,239,239,100,100,100,100,302,302,100,100,100,100,62,62,,,,,1256.58,1256.58,102.87,102.87,102.87,102.87,A+,A+,A+,A+,,,,,,,,,,,,
Fall02_01,Fall 2025 Computing for Scientists (CDS-130-002),Abdullah,Live,1,10,4,3,2,1,292.5,0,0,,,,,244.5,244.5,92.97,92.97,92.97,92.97,237,237,99.58,99.58,99.58,99.58,145.25,145.25,94.93,94.93,94.93,94.93,28.5,28.5,98.28,98.28,98.28,98.28,0,0,,,,,237.67,237.67,99.44,99.44,99.44,99.44,294.5,294.5,97.52,97.52,97.52,97.52,51.5,51.5,,,,,21,21,,,,,1259.91,1259.91,102.93,102.93,102.93,102.93,A+,A+,A+,A+
Fall02_02,Fall 2025 Computing for Scientists (CDS-130-002),Abdullah,Live,1,0,0,0,0,0,294,0,0,,,,,225,225,85.55,85.55,85.55,85.55,236,236,99.16,99.16,99.16,99.16,140.37,140.37,91.74,91.74,91.74,91.74,24.5,24.5,84.48,84.48,84.48,84.48,0,0,,,,,229.5,229.5,96.03,96.03,96.03,96.03,296,296,98.01,98.01,98.01,98.01,53,53,,,,,22,22,,,,,1226.37,1226.37,100.19,100.19,100.19,100.19,A+,A+,A+,A+
FallDL1_01,Fall 2025 Computing for Scientists (CDS-130-DL1),Abdullah,Async,1,20,5,5,5,5,250,0,0,,,,,231,231,95.06,95.06,95.06,95.06,229.83,229.83,96.57,96.57,96.57,96.57,171.5,171.5,99.13,99.13,99.13,99.13,29,29,100,100,100,100,0,0,,,,,230.67,230.67,96.51,96.51,96.51,96.51,252,252,83.44,83.44,83.44,83.44,61,61,,,,,0,0,,,,,1205,1205,98.45,98.45,98.45,98.45,A+,A+,A+,A+
FallDL1_02,Fall 2025 Computing for Scientists (CDS-130-DL1),Abdullah,Async,1,20,5,5,5,5,298.5,0,0,,,,,242,242,99.59,99.59,99.59,99.59,236,236,99.16,99.16,99.16,99.16,173,173,100,100,100,100,29,29,100,100,100,100,0,0,,,,,238.5,238.5,99.79,99.79,99.79,99.79,300.5,300.5,99.5,99.5,99.5,99.5,67,67,,,,,0,0,,,,,1286,1286,105.07,105.07,105.07,105.07,A+,A+,A+,A+
FallDL1_03,Fall 2025 Computing for Scientists (CDS-130-DL1),Abdullah,Async,1,20,5,5,5,5,204,0,0,,,,,231,231,95.06,95.06,95.06,95.06,236.43,236.43,99.34,99.34,99.34,99.34,171.5,171.5,99.13,99.13,99.13,99.13,28,28,96.55,96.55,96.55,96.55,0,0,,,,,189.8,189.8,79.41,79.41,79.41,79.41,206,206,68.21,68.21,68.21,68.21,37,37,,,,,0,0,,,,,1099.73,1099.73,89.85,89.85,89.85,89.85,A-,A-,A-,A-
