"Student","WA13.5","Instructor","Final.Grade","Modality","Group"
"    Points Possible",20,"",300,"","Treatment"
"Fall03_01",0,"Lamberti",267,"Live","Treatment"
"Fall03_02",16.5,"Lamberti",282,"Live","Treatment"
"Fall03_03",15,"Lamberti",284,"Live","Treatment"
"Fall03_04",13.25,"Lamberti",300,"Live","Treatment"
"Fall02_01",10,"Abdullah",292.5,"Live","Treatment"
"Fall02_02",0,"Abdullah",294,"Live","Treatment"
"FallDL1_01",20,"Abdullah",250,"Async","Treatment"
"FallDL1_02",20,"Abdullah",298.5,"Async","Treatment"
"FallDL1_03",20,"Abdullah",204,"Async","Treatment"
"    Points Possible",20,"",300,"","Control"
"Fall04_01",19,"Lamberti",297,"Live","Control"
"Fall04_02",19,"Lamberti",295.5,"Live","Control"
"Fall05_01",20,"Abdullah",287,"Live","Control"
